鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,房地(土地+建物),臺中市北區錦中街14號,24.43,住,,,1091211,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0661228,88.11,0,1,1,有,有,無,19700,224,,0.0,0,,RPWNMLOKKIPFFBB58CC
北區,房地(土地+建物),臺中市北區學士路184號,71.0,住,,,1091116,土地1建物1車位0,全,2,透天厝,商業用,鋼筋混凝土加強磚造,0620122,141.54,0,0,0,無,無,無,45000,318,,0.0,0,,RPSPMLOKKIPFFBB38CC
北區,建物,臺中市北區進化北路３１７號５樓之２２,0.0,商,,,1091122,土地0建物1車位0,五層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941208,66.39,1,1,1,有,有,有,15000,226,,0.0,0,,RPVPMLOKKIPFFBB68CC
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路一段631號9樓之3,51.84,商,,,1091124,土地1建物1車位2,九層,22,辦公商業大樓,商業用,鋼筋混凝土造,0800627,612.33,0,0,0,無,有,無,55000,90,坡道機械,0.0,0,,RPQOMLPKKIPFFBB18CC
西屯區,房地(土地+建物),臺中市西屯區河南路一段130號,138.0,商,,,1091215,土地1建物1車位0,全,4,透天厝,商業用,鋼筋混凝土造,0741204,239.63,0,0,0,無,無,無,50000,209,,0.0,0,,RPSOMLPKKIPFFCB48CC
西屯區,建物,臺中市西屯區上安路32號,11.0,住,,,1091115,土地0建物1車位0,一層,9,店面(店鋪),見其他登記事項,見其他登記事項,0930910,52.89,0,0,0,無,無,無,25000,473,,0.0,0,,RPQRMLPKKIPFFCB68DC
太平區,房地(土地+建物),臺中市太平區太平路320號,145.0,住,,,1091212,土地2建物1車位0,全,2,透天厝,住家用,加強磚造,0660630,112.82,0,1,1,有,無,無,19000,168,,0.0,0,,RPQOMLPKKIPFFJB98CC
豐原區,房地(土地+建物),臺中市豐原區朴子街561號,37.0,住,,,1091115,土地1建物1車位0,全,3,透天厝,農舍,鋼筋混凝土造,0951109,37.0,4,2,3,有,無,有,16000,432,,0.0,0,,RPPNMLPKKIPFFDB18CC
清水區,房地(土地+建物)+車位,臺中市清水區港新五路237號三樓之5,18.53,商,,,1091211,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080327,153.27,3,2,2,有,有,有,19000,124,坡道平面,33.76,0,,RPTSMLPKKIPFFFB66CC
豐原區,建物,臺中市豐原區豐勢路一段336號,288.9,工,,,1091201,土地0建物1車位0,見其他登記事項,1,工廠,工商用,鋼造,0711208,184.36,0,0,0,無,無,有,46000,,,0.0,0,,RPUNMLQKKIPFFDB78CC
烏日區,房地(土地+建物)+車位,臺中市烏日區公園路105號七樓之1,18.71,住,,,1091213,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010628,123.11,3,2,2,有,有,有,19752,191,坡道平面,23.89,752,,RPVRMLQKKIPFFIB17CC
大里區,房地(土地+建物),臺中市大里區中興路二段日新巷48弄41號,92.36,住,,,1091127,土地1建物1車位0,一層,1,其他,住家用,見其他登記事項,0570701,50.81,3,2,1,有,無,無,7000,138,,0.0,0,,RPWSMLQKKIPFFIB37CC
南區,房地(土地+建物)+車位,臺中市南區忠明南路1108號13樓之2,26.99,住,,,1091204,土地1建物1車位0,十三層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060213,111.46,4,1,2,有,無,有,36000,323,坡道平面,34.41,0,,RPWNMLQKKIPFFAB68CC
西區,房地(土地+建物),臺中市西區三民路一段50巷8號18樓26,2.72,住,,,1091116,土地2建物1車位0,十八層,19,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840113,35.25,1,1,1,有,有,有,7500,213,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPOQMLQKKIPFFAB18CC
南區,房地(土地+建物),臺中市南區工學北路86號14樓8,3.42,住,,,1091119,土地1建物1車位0,十四層,18,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0850506,56.85,1,1,1,有,無,有,7000,123,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；,RPQQMLQKKIPFFAB38CC
西屯區,房地(土地+建物),臺中市西屯區玉門路265號3樓之3,26.03,住,,,1091126,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850615,130.34,2,2,2,有,有,有,16500,127,,0.0,0,,RPRQMLQKKIPFFCB68CC
西屯區,建物,臺中市西屯區福科路３３５巷１１號,0.0,住,,,1091125,土地0建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1031001,355.45,5,3,8,有,無,有,78000,219,,0.0,0,含增建或未登記建物。；房屋用途做住家及店面營業使用。,RPURMLQKKIPFFCB09CC
西屯區,建物,臺中市西屯區烈美街100號4F-2 C室,0.0,住,,,1091214,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081007,12.97,1,0,1,有,有,有,12500,964,,0.0,0,,RPWRMLQKKIPFFCB66CC
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段673號18樓之3,1890.0,住,,,1091212,土地1建物1車位0,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840415,110.46,3,2,2,有,有,有,19500,177,坡道平面,0.0,0,,RPPQMLQKKIPFFBB38CC
