鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
暖暖區,建物,基隆市暖暖區碇內街436號2樓,0.0,住,,,1100317,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,75.09,3,1,1,有,有,有,10000,133,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPSOMLRJMHGGFCC97CC
暖暖區,建物,基隆市暖暖區碇內街306號9樓,0.0,住,,,1100315,土地0建物1車位0,九層,10,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850217,56.04,2,1,1,有,有,有,10000,178,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPTOMLRJMHGGFCC08CC
安樂區,房地(土地+建物),基隆市安樂區武嶺街217之3號,30.64,其他,,,1100329,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850406,101.19,3,2,2,有,有,無,12000,119,,0.0,0,,RPUOMLRJMHGGFCC18CC
安樂區,房地(土地+建物),基隆市安樂區武嶺街60號底層,25.98,住,,,1100402,土地1建物1車位0,地下層,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690324,60.03,0,0,0,無,無,無,18500,308,,0.0,0,,RPVOMLRJMHGGFCC28CC
暖暖區,建物,基隆市暖暖區碇內街188之2號8樓,0.0,商,,,1100312,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020911,75.36,3,2,1,有,有,有,12000,159,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWOMLRJMHGGFCC38CC
中山區,建物,基隆市中山區西定路121之3號,0.0,住,,,1100312,土地0建物1車位0,四層,4,華廈(10層含以下有電梯),住家用,鋼筋混凝土加強磚造,0640226,67.81,3,1,1,有,有,有,11000,162,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPXOMLSJMHGGFCC58CC
暖暖區,建物,基隆市暖暖區暖暖街16巷35之2號,0.0,住,,,1100323,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681027,79.99,3,1,2,有,無,有,12000,150,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPOPMLSJMHGGFCC77CC
安樂區,建物,基隆市安樂區樂利三街263巷19弄37號底一層,0.0,住,,,1100315,土地0建物1車位0,地下一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710603,81.63,2,1,1,有,無,有,10000,123,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPPPMLSJMHGGFCC87CC
暖暖區,建物,基隆市暖暖區碇內街186巷4號4樓,0.0,住,,,1100316,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730127,93.51,2,2,2,有,無,有,10000,107,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPRPMLSJMHGGFCC08CC
安樂區,建物,基隆市安樂區樂利二街62巷78號6樓,0.0,住,,,1100310,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850322,90.16,3,2,2,有,有,有,10500,116,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSPMLSJMHGGFCC18CC
中正區,建物,基隆市中正區觀海街189號16樓,0.0,住,,,1100317,土地0建物1車位0,十六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,23.91,1,1,1,有,有,有,5500,230,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPSRMLSJMHGGFBC28CC
中正區,建物,基隆市中正區新豐街452號之3,0.0,住,,,1100318,土地0建物1車位0,七層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,95.43,3,2,2,有,有,有,12000,126,,0.0,0,108年度基隆市社會住宅包租代管第二期計畫,RPTRMLSJMHGGFBC38CC
信義區,建物,基隆市信義區深澳坑路6巷284號4樓,0.0,住,,,1100317,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0881006,90.4,3,2,1,有,無,有,8500,94,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXNMLMKMHGGFBC87CC
安樂區,建物,基隆市安樂區安和一街129巷4之4號,0.0,住,,,1100316,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0710621,98.36,3,1,1,有,無,有,7000,71,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXPMLMKMHGGFCC18CC
七堵區,房地(土地+建物)+車位,基隆市七堵區實踐路248號4樓,27.98,住,,,1100412,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071212,125.26,3,2,2,有,有,有,24000,229,坡道平面,33.36,0,含管理費、稅金或水電等費用。；,RPQQMLMKMHGGFCC57CC
安樂區,建物,基隆市安樂區武嶺街297號5樓之4,0.0,住,,,1100322,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850216,57.13,2,1,1,有,有,有,10000,175,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWOMLNKMHGGFCC08CC
暖暖區,建物,基隆市暖暖區碇內街369號,0.0,住,,,1100323,土地0建物1車位0,一層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840517,59.53,2,1,1,有,有,有,8000,134,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOPMLNKMHGGFCC37CC
仁愛區,建物,基隆市仁愛區成功一路133巷21號13樓,0.0,住,,,1100315,土地0建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0860630,103.28,3,2,2,有,有,有,15000,145,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPUOMLNKMHGGFBC77CC
信義區,建物,基隆市信義區義六路5之2號2樓,0.0,商,,,1100321,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720608,87.68,3,2,1,有,無,有,12000,137,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVOMLNKMHGGFBC87CC
暖暖區,房地(土地+建物),基隆市暖暖區暖暖街220之1號1樓,54.16,商,,,1100413,土地1建物1車位0,見其他登記事項,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0831120,165.25,0,0,0,無,有,無,80000,484,,0.0,0,,RPROMLNKMHGGFCC67DC
中正區,建物,基隆市中正區義一路156號5樓,0.0,商,,,1100322,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850123,119.61,1,1,1,有,有,有,9000,75,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPUNMLOKMHGGFBC77CC
仁愛區,建物,基隆市仁愛區愛九路25巷6號,0.0,住,,,1100324,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720613,74.37,3,2,2,有,無,有,13500,182,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWNMLOKMHGGFBC97CC
信義區,建物,基隆市信義區孝東路102號6樓,0.0,住,,,1100322,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061018,133.33,4,2,2,有,有,有,13500,101,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXNMLOKMHGGFBC08CC
中正區,建物,基隆市中正區觀海街179號11樓,0.0,住,,,1100324,土地0建物1車位0,十一層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,92.47,3,2,2,有,有,有,13500,146,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPOOMLOKMHGGFBC27CC
中正區,建物,基隆市中正區新豐街186號11樓,0.0,住,,,1100326,土地0建物1車位0,十一層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851129,55.08,4,0,1,有,有,有,10000,182,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPVOMLOKMHGGFBC97CC
信義區,建物,基隆市信義區信二路6巷10號,0.0,住,,,1100326,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710730,51.0,2,2,1,有,無,有,8000,157,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWOMLOKMHGGFBC08CC
信義區,建物,基隆市信義區義九路34號2樓內,0.0,商,,,1100331,土地0建物1車位0,二層,3,公寓(5樓含以下無電梯),住家用,加強磚造,0560116,57.5,2,1,1,有,無,有,11000,191,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPXOMLOKMHGGFBC18CC
七堵區,建物,基隆市七堵區明德一路172巷16之5號,0.0,住,,,1100323,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680613,77.7,2,2,1,有,無,有,10000,129,,0.0,0,108年度基隆市社會住宅包租代管第2期計畫,RPWNMLOKMHGGFCC08CC
