鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路1308巷355號3樓,20.72,住,,,1100304,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070612,163.76999999999998,3,2,2,有,有,有,20500,143,坡道平面,34.29,2000,管理費由承租人負擔2359元整,RPTPMLPKLHGGFAH28CC
桃園區,建物,桃園市桃園區民權路27之6號,0.0,商,,,1100305,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721210,141.82,4,2,2,有,有,有,21000,148,,0.0,0,,RPQQMLPKLHGGFAH08CC
桃園區,建物,桃園市桃園區中正五街139號4樓之2,0.0,其他,,,1100310,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841204,41.82,1,1,1,有,無,有,7500,179,,0.0,0,,RPXQMLPKLHGGFAH78CC
八德區,土地,興豐段2507地號,425.86,住,,,1100223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,35,,0.0,0,,RPRNMLQKLHGGFFH48CC
蘆竹區,車位,桃園市蘆竹區南山路1段57號等地下1樓,0.0,,,,1100308,土地0建物0車位1,,,其他,,,,40.82,0,0,0,有,有,無,2300,,坡道平面,40.82,2300,含管理費、稅金或水電等費用。；,RPPQMLQKLHGGFEH48CC
龜山區,房地(土地+建物)+車位,桃園市龜山區中興路86號10樓,14.57,住,,,1100316,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010328,56.21,2,2,1,有,有,有,18000,0,坡道平面,59.8,0,,RPQNMLQKLHGGFHH58CC
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路222號1F,16.32,住,,,1100312,土地1建物1車位1,一層,20,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040814,104.65,0,0,0,無,有,無,10000,96,坡道平面,37.58,0,,RPRNMLQKLHGGFHH68CC
中壢區,房地(土地+建物)+車位,桃園市中壢區普義路217巷30號11樓,19.0,住,,,1100316,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930924,73.97,4,2,2,有,有,有,18000,243,坡道平面,0.0,3000,,RPWRMLQKLHGGFBH09DC
桃園區,建物,桃園市桃園區大業路二段27號2樓,0.0,住,,,1100127,土地0建物1車位0,二層,4,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0780501,20.34,1,1,1,有,無,有,8800,433,,0.0,0,,RPTQMLQKLHGGFAH68EC
桃園區,建物,桃園市桃園區愛二街52號A3,0.0,住,,,1100203,土地0建物1車位0,一層,3,套房(1房1廳1衛),見其他登記事項,加強磚造,0641231,47.17,1,1,1,有,無,有,10750,228,,0.0,0,,RPUQMLQKLHGGFAH78EC
桃園區,建物,桃園市桃園區國強一街220號十三樓,0.0,,,,1100227,土地0建物1車位0,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971020,186.88,3,2,2,有,有,有,20000,107,,0.0,0,,RPQPMLQKLHGGFAH08CC
桃園區,房地(土地+建物),桃園市桃園區1388號6樓之3,12.52,住,,,1100312,土地1建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,112.53999999999999,3,2,2,有,有,有,17500,156,,0.0,0,,RPPQMLQKLHGGFAH08CC
中壢區,建物,桃園市中壢區恩德街４６號一樓,0.0,住,,,1100223,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0720207,86.46,0,1,1,有,無,有,32000,370,,0.0,0,含增建或未登記建物。；,RPOOMLQKLHGGFBH87CC
大園區,建物,桃園市大園區大華一街31號9樓,0.0,住,,,1100302,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040112,295.81,4,2,3,有,有,無,20200,68,,0.0,0,管理費由承租人負擔每月4474元整,RPSNMLRKLHGGFEH58CC
楊梅區,建物,桃園市楊梅區金山街368巷60號15樓,0.0,住,,,1100226,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060802,152.14,3,2,2,有,有,有,20000,131,坡道平面,31.7,0,,RPOQMLRKLHGGFDH38CC
